"fossil_name","species","site","morphotype","genus","family","order","genus_reported","family_reported","order_reported","genus_informal","family_informal","order_informal","age_ma","ln.leaf.area.mm2","feret.diam.ratio","perim.ratio","teeth.perimeter.percm","teeth.interior.percm","teeth.blade.area.ratio","tooth.area.perimeter","tooth.area.interior","tooth.area.blade.area.ratio","avt.tooth.area","pw2.a.ratio","margin.score"
"unknown_11_rp159_Republic","unknown-11 (rp159)","Republic","unknown-11 (rp159)","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,49.4,NA,NA,1.07118198646083,1.82998072006158,1.96024238290058,1.88211780487772,0.016004317384382,0.0171435364877519,0.0164602885559613,0.0087456207647059,NA,0
"unknown_12_rp2_Republic","unknown-12 (rp2)","Republic","unknown-12 (rp2)","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,49.4,3.76834194360772,0.479403180820777,1,0,0,0,0,0,0,0,NA,1
"unknown_13_rp4_Republic","unknown-13 (rp4)","Republic","unknown-13 (rp4)","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,49.4,5.17953383055807,0.712004315905304,1,0,0,0,0,0,0,0,NA,1
"unknown_14_rp5_Republic","unknown-14 (rp5)","Republic","unknown-14 (rp5)","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,49.4,6.05044075220828,0.750741844749564,1,0,0,0,0,0,0,0,NA,1
"unknown_15_rp12_Republic","unknown-15 (rp12)","Republic","unknown-15 (rp12)","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,49.4,8.25842246245888,0.769707449278092,1,0,0,0,0,0,0,0,NA,1
"unknown_16_rp13_Republic","unknown-16 (rp13)","Republic","unknown-16 (rp13)","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,49.4,6.82448235978832,0.584282941932779,1,0,0,0,0,0,0,0,NA,1
"unknown_2_rp41_Republic","unknown-2 (rp41)","Republic","unknown-2 (rp41)","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,49.4,6.32575082604973,0.619710176194831,1.00919383866518,0.499132757443992,0.508310649532886,1.02615169251579,0.00399253508627846,0.0040659485331751,0.00820813015197271,0.00399947211111111,0.00101651874672814,0.5
"unknown_3_rp59_Republic","unknown-3 (rp59)","Republic","unknown-3 (rp59)","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,49.4,6.5792512120101,0.66296453392253,1.22765275497512,1.9162548629111,2.35249556168728,3.81294487929575,0.0395258310986251,0.0485239954409083,0.078648105846661,0.0215234133478261,NA,0
"unknown_4_rp24_Republic","unknown-4 (rp24)","Republic","unknown-4 (rp24)","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,49.4,7.34083555412327,0.677619521102378,1.21523579051082,1.88221155682554,2.2873308491675,2.20351380243586,0.0201837732858675,0.0245280436845424,0.0236292370320238,0.010723435,NA,0
"unknown_5_rp149_Republic","unknown-5 (rp149)","Republic","unknown-5 (rp149)","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,49.4,8.2768780485937,0.587323503691835,1.05565248176123,1.07742924588943,1.13739085734531,1.2396121631871,0.0308480992281996,0.0325648725078656,0.0354915918241217,0.0286312065000001,NA,0
"unknown_6_rp151_Republic","unknown-6 (rp151)","Republic","unknown-6 (rp151)","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,49.4,NA,NA,1.12163557293311,1.78512431438885,2.00225893312636,2.50023771587062,0.0259333176781592,0.0290877316319985,0.0363220972533704,0.0145274575384615,NA,0
"unknown_7_rp16_Republic","unknown-7 (rp16)","Republic","unknown-7 (rp16)","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,49.4,NA,NA,1.1848720096323,1.08856135658905,1.28980588218974,0.809290637527462,0.0719474729986266,0.0852485469198484,0.0534893287724246,0.0708150971428572,NA,0
"unknown_8_rp3_Republic","unknown-8 (rp3)","Republic","unknown-8 (rp3)","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,49.4,NA,NA,1.15375748791652,1.5208420991926,1.75468295988213,1.01813628841047,0.0641855028494826,0.0740545045282774,0.0429693455195811,0.0422039229999999,NA,0
"unknown_9_rp7_Republic","unknown-9 (rp7)","Republic","unknown-9 (rp7)","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,49.4,7.94047702182796,0.718070391989027,1.02206755590319,2.07809979917597,2.12395838266669,0.983083279874903,0.0285559444717022,0.0291861043726998,0.0135089140388245,0.013741373,NA,0
"Zyziphoides_flabella_Republic","Zyziphoides flabella","Republic","Zyziphoides flabella (rp37)","unknown","unknown","unknown","""Zyziphoides""","unknown","unknown",TRUE,FALSE,FALSE,49.4,7.53212976916013,0.85527655844817,1.20510975572735,1.29102124206556,1.56571929783312,1.28889703806646,0.0707593609601626,0.0854669003743787,0.068936490700165,0.0585318078441558,0.000474454790095408,0
"Allopanax_quinus_Bonanza","Allopanax quinus","Bonanza","Araliophyllum quina","Allopanax","Araliaceae","Apiales","Allopanax","Araliaceae","Apiales",FALSE,FALSE,FALSE,47.3,5.43539773285149,0.339526919222359,1.15348166610981,1.62054356157875,1.86478012207597,7.90739497320598,0.0184905177650917,0.0220007211622611,0.0897619524764317,0.0119765275782828,0.0124063918193342,0
"Allophylus_flexifolia_Bonanza","Allophylus flexifolia","Bonanza","Allophylus flexifolia","unknown","Sapindaceae","Sapindales","""Allophylus""","Sapindaceae","Sapindales",TRUE,FALSE,FALSE,47.3,7.57957935423273,0.515419790950321,1.06967900889386,0.991820253160979,1.06450747409994,1.04459361685379,0.0192872769266208,0.0206440590486792,0.0193686386025414,0.0215999266352344,0.000664033512656202,0
"Caesalpinia_pecorae_Bonanza","Caesalpinia pecorae","Bonanza","Caesalpinia pecorae","unknown","Fabaceae","Fabales","""Caesalpinia""","Fabaceae","Fabales",TRUE,FALSE,FALSE,47.3,5.04226791638245,0.554311898353897,1,0,0,0,0,0,0,0,0.00531002251978643,1
"Cardiospermum_coloradensis_Bonanza","Cardiospermum coloradensis","Bonanza","Cardiospermum coloradensis","Cardiospermum","Sapindaceae","Sapindales","Cardiospermum","Sapindaceae","Sapindales",FALSE,FALSE,FALSE,47.3,5.73857182697362,0.48210438311916,1,0,0,0,0,0,0,0,0.00103014885508896,1
"Cedrelospermum_nervosum_Bonanza","Cedrelospermum nervosum","Bonanza","Cedrelospermum nervosum","Cedrelospermum","Ulmaceae","Rosales","Cedrelospermum","Ulmaceae","Rosales",FALSE,FALSE,FALSE,47.3,5.91734903829251,0.489603813313247,1.09543914058481,2.28442152953298,2.49341404702214,7.10498759740228,0.0173540553347094,0.0191755685359359,0.0450809362597109,0.00892045510126281,0.0038028438938441,0
"dicot_GR_A_Bonanza","dicot GR-A","Bonanza","dicot GR-A","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,47.3,8.44311098886894,0.664200160379894,1,0,0,0,0,0,0,0,5.69655640185032e-05,1
"dicot_GR_B_Bonanza","dicot GR-B","Bonanza","dicot GR-B","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,47.3,7.70634685293207,0.5877553019414,1,0,0,0,0,0,0,0,0.000293822921736661,1
"dicot_GR_C_Bonanza","dicot GR-C","Bonanza","dicot GR-C","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,47.3,7.27883596022847,0.518178840492806,1.11691504028903,1.06990892262207,1.19499736741602,1.07589894923814,0.0308446632482308,0.0344508682945993,0.031017351175132,0.028829242,NA,0
"dicot_GR_D_Bonanza","dicot GR-D","Bonanza","dicot GR-D","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,47.3,5.49264983600813,0.315332092132129,1.25084288417524,4.01565252376246,5.02582666891156,24.2923704055394,0.0208838096095091,0.0261545386809353,0.12663153185486,0.0051949965483871,NA,0
"dicot_GR_D2_Bonanza","dicot GR-D2","Bonanza","dicot GR-D2","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,47.3,6.10345304905603,0.395088340604069,1.05322725260058,2.0679853548467,2.17805853370343,5.95726700836917,0.00799578524008224,0.00842137892079611,0.0230335420437627,0.00386646124999998,NA,0
"dicot_GR_G_Bonanza","dicot GR-G","Bonanza","dicot GR-G","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,47.3,7.6071267782174,0.748329980010075,1,0,0,0,0,0,0,0,NA,1
"dicot_GR_J_Bonanza","dicot GR-J","Bonanza","dicot GR-J","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,47.3,5.42514676244302,0.535736013665665,1,0,0,0,0,0,0,0,NA,1
"dicot_GR_M_Bonanza","dicot GR-M","Bonanza","dicot GR-M","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,47.3,6.27991114679682,0.429430681518175,1,0,0,0,0,0,0,0,NA,1
"dicot_GR_O_Bonanza","dicot GR-O","Bonanza","dicot GR-O","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,47.3,5.1366849381097,0.459422320098495,1,0,0,0,0,0,0,0,NA,1
"dicot_GR_P_Bonanza","dicot GR-P","Bonanza","dicot GR-P","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,47.3,6.1780219875744,0.559500915395977,1,0,0,0,0,0,0,0,NA,1
"dicot_GR_XX_Bonanza","dicot GR-XX","Bonanza","dicot GR-XX","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,47.3,NA,NA,1.25989951207687,4.70683478373835,5.83933138651159,4.98603179632963,0.0190387938610611,0.0242820318390711,0.0203369069040723,0.00431905742307694,NA,0
"Leguminosites_lesquerreuxiana_Bonanza","Leguminosites lesquerreuxiana","Bonanza","Leguminosites lesquerreuxiana","Leguminosites","Fabaceae","Fabales","Leguminosites","Fabaceae","Fabales",FALSE,FALSE,FALSE,47.3,6.50947964907698,0.695523830364057,1,0,0,0,0,0,0,0,0.00322578609388694,1
"Macginitea_wyomingensis_Bonanza","Macginitea wyomingensis","Bonanza","Macginitea wyomingensis","Macginitea","Platanaceae","Proteales","Macginitea","Platanaceae","Proteales",FALSE,FALSE,FALSE,47.3,8.02025542976993,0.563419799955443,1.11544834931465,0.814679659758256,0.939378585594458,1.11191826902454,0.012497299665441,0.0143477923947125,0.0153335759938821,0.0148124803780332,0.00111615632028737,0.5
"Parvileguminophyllum_coloradensis_Bonanza","Parvileguminophyllum coloradensis","Bonanza","Parvileguminophyllum coloradensis","Parvileguminophyllum","Fabaceae","Fabales","Parvileguminophyllum","Fabaceae","Fabales",FALSE,FALSE,FALSE,47.3,3.82804344042242,0.47036781654678,1,0,0,0,0,0,0,0,0.0299319869715784,1
"Populus_tidwellii_Bonanza","Populus tidwellii","Bonanza","Populus cinnamomoides","Populus","Salicaceae","Malpighiales","Populus","Salicaceae","Malpighiales",FALSE,FALSE,FALSE,47.3,6.54492022853113,0.424663770200742,1.13207648024852,2.21916312008703,2.50130012608899,5.56156369137432,0.0172987060039089,0.0198872669908725,0.0367784016780782,0.00980349605537518,0.00228834685842528,0
"Populus_wilmattae_Bonanza","Populus wilmattae","Bonanza","Populus wilmattae","Populus","Salicaceae","Malpighiales","Populus","Salicaceae","Malpighiales",FALSE,FALSE,FALSE,47.3,6.48076705041173,0.618743213802078,1.14877370565758,2.45387053410035,2.82672275852011,2.31171106577491,0.0205593064137942,0.0237692778717053,0.0198226415166767,0.00912843223518519,0.00127438688182656,0
"Rhus_nigricans_Bonanza","Rhus nigricans","Bonanza","Rhus nigricans","Rhus","Anacardiaceae","Sapindales","Rhus","Anacardiaceae","Sapindales",FALSE,FALSE,FALSE,47.3,6.30439335024229,0.479815444199159,1.23445027644464,1.19047092555124,1.47106050855852,3.31249092780756,0.0350078397621128,0.0443155632286999,0.0942753757423679,0.0345716488076674,0.00295975592129605,0
"Salix_cockerelli_Bonanza","Salix cockerelli","Bonanza","Salix cockerelli","Salix","Salicaceae","Malpighiales","Salix","Salicaceae","Malpighiales",FALSE,FALSE,FALSE,47.3,6.83746579120134,0.341334619828384,1.13117033314448,3.53829008764391,4.02548272209204,8.27816686544284,0.0134819313651806,0.0153800696741285,0.0278006938515012,0.00435262450814874,0.00135490380505477,0
"Styrax_transversa_Bonanza","Styrax transversa","Bonanza","Styrax transversa","unknown","unknown","Ericales","""Styrax""","""Styracaceae""","Ericales",TRUE,TRUE,FALSE,47.3,6.41624813889336,0.505417596570099,1.14179524548871,1.839348416832,2.10041971657708,4.14524330643321,0.0109116486713225,0.0124608109868206,0.0245277973287696,0.00594079205263157,0.00183224757095194,0
"Syzygioides_americana_Bonanza","Syzygioides americana","Bonanza","Syzygioides americana","Syzygioides","Myrtaceae","Myrtales","Syzygioides","Myrtaceae","Myrtales",FALSE,FALSE,FALSE,47.3,5.76662378258007,0.328597486847546,1,0,0,0,0,0,0,0,0.00571410695809846,1
