"Site","evergreen","n.percent","c.percent","c.n.ratio","leaf.thickness.mm","leaf.mass.g","petiole.width.cm","pw2.a.ratio","petiole.area.cm2","blade.area.cm2","perimeter.cm","shape.factor","major.length.cm","internal.perimeter.cm","tooth.area.cm2","primary.teeth.number","secondary.teeth.number","teeth.number","leaf.area.cm2","ln.leaf.area.mm2","leaf.mass.per.area.g.per.m2","compact","feret.diam.ratio","perim.area.cm2","perim.ratio","teeth.perimeter.percm","teeth.interior.percm","avt.tooth.area","tooth.area.blade.area.ratio","tooth.area.perimeter","tooth.area.interior","teeth.blade.area.ratio","margin.score","site.info","latitude","longitude","mat","map","gsmt","gsp","gdd","gsdd","gsl","cmmt","wmmt","mart"
"Okataina",0.954545454545455,NA,NA,NA,NA,NA,0.21047619047619,0.00304761904761905,0.3647,20.2660454545455,21.795,0.520090909090909,8.69240909090909,23.28575,0.38,19.1363636363636,0,19.1363636363636,20.5974090909091,7.36854545454545,NA,28.1360909090909,0.578545454545455,1.39331818181818,1.04854545454545,0.789363636363636,0.861681818181818,0.0138181818181818,0.0171363636363636,0.0142272727272727,0.0157272727272727,0.951545454545455,0.431818181818182,NA,-38.8,176.4,10.4,170.4,10.4,170.4,674,674,365,5.1,15.7,10.7
"Panther Wildlife Refuge, FL",0.764705882352941,1.815,44.6055555555556,26.5722222222222,0.153555555555556,0.249611111111111,0.138764705882353,0.00105882352941176,0.155,25.071,22.268,0.544833333333333,9.001,19.118,0.141,8.38888888888889,0.411133333333333,8.68522222222222,25.2188333333333,7.49538888888889,94.2167777777778,24.3509444444444,0.590833333333333,1.24622222222222,1.01811111111111,0.518444444444444,0.562555555555556,0.00866666666666667,0.00716666666666667,0.00566666666666667,0.00611111111111111,0.940055555555555,0.777777777777778,NA,26.2,-81.3,23.2,134.2,24.7,116.4,4803,3584,243,17.7,27.7,10
"Parkdale, OR",0.0625,NA,NA,NA,NA,0.19415625,0.101344827586207,0.000655172413793103,0.283533333333333,27.9528125,27.467625,0.48409375,7.14903125,24.8478518518518,1.03653125,49.53125,13.375,54.65625,28.21853125,7.4179375,74.75240625,32.9039375,0.72475,1.43284375,1.1935,2.1879375,2.70571875,0.03746875,0.0400625,0.02953125,0.038625,3.21965625,0.171875,NA,45.5,-121.6,8.9,119.7,9.5,21.9,818,40,92,0.1,18,17.9
"Parque El Rey",0.928571428571429,NA,NA,NA,NA,NA,0.0911153846153846,0.00253846153846154,NA,12.0381111111111,15.575037037037,0.50562962962963,5.91185185185185,15.0018,0.137074074074074,12.2592592592593,0.45,12.6049259259259,12.0381111111111,6.48281481481482,NA,28.1451851851852,0.590259259259259,2.59618518518519,1.05455555555556,0.655851851851852,0.771074074074074,0.00640740740740741,0.0180740740740741,0.00785185185185185,0.00914814814814815,1.38033333333333,0.62962962962963,NA,-24.6,-64.7,19.2,61.2,22.2,58.5,3317,2576,212,12.4,24.2,11.8
"Pasoh",1,NA,NA,NA,NA,0.520464285714286,0.170357142857143,0.000535714285714286,0.139961538461538,65.2930714285714,37.3492142857143,0.543392857142857,15.2463214285714,37.3142,0.190607142857143,6.91071428571429,0,6.91071428571429,65.42275,8.58167857142857,77.9959642857143,23.8843214285714,0.576607142857143,0.700678571428571,1.00846428571429,0.18075,0.188892857142857,0.00917857142857143,0.00396428571428571,0.00603571428571429,0.00642857142857143,0.119857142857143,0.821428571428571,NA,2.9,102.3,26.4,215.6,23.7,215.6,4984,4984,365,22.8,24.4,1.7
"Pee Dee, SC",0.291666666666667,1.39518518518519,45.6740740740741,37.2074074074074,0.137740740740741,0.154,0.116,0.00126086956521739,0.127181818181818,18.5453333333333,21.5112962962963,0.500814814814815,7.38748148148148,22.9907142857143,0.242518518518519,13.3827037037037,0.976214285714286,13.9135925925926,18.6502962962963,7.02485185185185,84.2455185185185,29.3274444444444,0.59137037037037,1.75714814814815,1.0417037037037,0.729222222222222,0.787111111111111,0.0285925925925926,0.010962962962963,0.00859259259259259,0.01,1.27792592592593,0.481481481481482,NA,34.2,-79.4,17,122.5,17,122.5,2788,2788,365,6.5,26.8,20.4
"Placerville, CA",0.347826086956522,NA,NA,NA,NA,0.184260869565217,0.166818181818182,0.00318181818181818,0.152227272727273,22.8087826086957,21.3179130434783,0.523086956521739,7.12286956521739,22.195,0.591739130434783,29.5,2,30.1521739130435,22.9538695652174,7.01765217391304,104.556,27.7233043478261,0.658782608695652,1.79782608695652,1.10847826086957,1.32373913043478,1.5535652173913,0.0271304347826087,0.0364347826086957,0.0229565217391304,0.0271739130434783,2.13447826086957,0.304347826086957,NA,38.8,-120.8,14.4,98.5,9.5,91.9,1893,243,212,6.1,23.6,17.6
"Portal, AZ",0,NA,NA,NA,NA,0.0815151515151515,0.108930555555556,0.00616666666666667,0.068734375,6.94075,11.5809868421053,0.500763157894737,4.05346052631579,15.4233157894737,0.129342105263158,14.0592105263158,1.12962962962963,14.7302631578947,6.99925,5.59707894736842,120.956742424242,31.7563947368421,0.60296052631579,6.00719736842105,1.03494736842105,0.986802631578947,1.06619736842105,0.0108947368421053,0.0138552631578947,0.00796052631578947,0.00882894736842105,2.51857894736842,0.552631578947368,NA,31.9,-109.2,15.8,50,18.7,29.2,1645,1067,123,4,22.1,18.1
"Powers, OR",0.206896551724138,NA,NA,NA,NA,0.255689655172414,0.12256,0.00084,0.267875,26.0290689655172,24.9657931034483,0.513310344827586,7.50689655172414,22.85492,1.11355172413793,31.5,5.07692307692308,33.448275862069,26.2535172413793,7.32568965517241,90.6907586206896,29.4485172413793,0.677068965517241,1.49155172413793,1.10237931034483,1.51634482758621,1.75948275862069,0.0747586206896552,0.0307586206896552,0.0244827586206897,0.0292068965517241,2.55113793103448,0.241379310344828,NA,42.9,-124.1,11.5,158.7,8.9,148.3,921,146,243,6.2,17.5,11.3
"Red Fleet, UT",0.260869565217391,NA,NA,NA,NA,0.0582380952380952,0.105363636363636,0.00390909090909091,0.0772631578947369,6.11604347826087,12.4066956521739,0.442782608695652,4.13752173913043,12.4288666666667,0.22304347826087,21.8913043478261,2.27777777777778,22.7826086956522,6.1785652173913,5.90139130434783,98.8162857142857,34.001,0.615739130434783,3.64534782608696,1.10613043478261,1.40021739130435,1.70465217391304,0.0149130434782609,0.0351739130434783,0.0139565217391304,0.0171739130434783,3.47708695652174,0.391304347826087,NA,40.5,-109.3,7.1,24.8,16.9,11.5,1056,1056,153,-7,21,28
"Republic, WA",0.0357142857142857,NA,NA,NA,NA,0.125035714285714,0.0964074074074074,0.000666666666666667,0.327269230769231,27.4291785714286,24.4171785714286,0.435607142857143,6.68964285714286,20.55332,0.702535714285714,51.4642857142857,5.16666666666667,54.8392857142857,27.7316071428571,7.16632142857143,51.1761071428571,35.342,0.699,1.72925,1.17478571428571,2.28603571428571,2.76660714285714,0.0135714285714286,0.0390714285714286,0.0223214285714286,0.0278571428571429,4.33914285714286,0.160714285714286,NA,48,-117.9,0.1,124.7,7.9,21.6,0,0,122,-8.4,9.8,18.2
"Robinson Falls",1,NA,NA,NA,NA,0.6405,0.1709,0.00045,0.181947368421053,71.4094545454546,39.769,0.502590909090909,15.7311363636364,44.88,0.0888181818181818,12,0,12,71.5769545454545,8.59540909090909,85.7941363636364,25.9067272727273,0.563318181818182,0.744227272727273,1.01486363636364,0.262545454545455,0.286636363636364,0.000954545454545455,0.000681818181818182,0.00127272727272727,0.00154545454545455,0.248636363636364,0.795454545454545,NA,4.4,101.4,22.1,261.4,18.5,261.4,3100,3100,365,17.8,19.3,1.6
"Round Hill mallee",1,NA,NA,NA,NA,NA,0.0776470588235294,0.00447058823529412,0.216615384615385,8.83527777777778,18.6566111111111,0.207833333333333,7.87688888888889,1.209,0,0.0185,0,0.0185,8.99111111111111,5.24233333333333,NA,100.742888888889,0.328833333333333,9.51577777777778,1.00072222222222,0.0147222222222222,0.0153333333333333,0,0.000222222222222222,0,0,0.356111111111111,0.972222222222222,NA,-33,146.2,17.6,42.1,17.6,42.1,2794,2794,365,9.4,25.8,16.4
"Round Hill woodland",1,NA,NA,NA,NA,NA,0.0785686274509804,0.00237254901960784,0.159137254901961,9.17012962962963,22.6527777777778,0.209925925925926,9.24712962962963,7.52275,0.00655555555555556,0.456814814814815,0,0.456814814814815,9.31903703703704,5.841,NA,111.943,0.331185185185185,6.35668518518519,1.00681481481481,0.0439444444444444,0.0507592592592593,0.000648148148148148,0.00262962962962963,0.000537037037037037,0.000611111111111111,0.266833333333333,0.944444444444444,NA,-33,146.1,17.6,42.4,17.6,42.4,2774,2774,365,9.3,25.7,16.4
"San Bartolo",NA,NA,NA,NA,NA,0.0639130434782609,0.0668620689655172,0.00379310344827586,0.117071428571429,7.60648387096774,12.609064516129,0.503774193548387,3.21164516129032,15.3948,0.239806451612903,5.66129032258065,0,5.66129032258065,7.71370967741935,5.04874193548387,74.8006956521739,33.6059032258065,0.669064516129032,7.15061290322581,1.07183870967742,0.488774193548387,0.57883870967742,0.0105806451612903,0.0195161290322581,0.00732258064516129,0.00958064516129032,1.80545161290323,0.693548387096774,NA,23.7,-109.9,21.3,41.1,25.5,35.4,4094,1900,123,15.5,26.9,11.4
"Santa Cruz, CA",0.395833333333333,NA,NA,NA,NA,0.112479166666667,0.1616875,0.00325,0.128363636363636,13.4165208333333,16.8794166666667,0.537979166666667,5.9054375,14.7083125,0.184583333333333,28.3958125,2.86666666666667,30.4583125,13.5268125,6.80529166666667,76.239,26.526875,0.664291666666667,1.9786875,1.09897916666667,1.64647916666667,1.95147916666667,0.00635416666666667,0.0225208333333333,0.0098125,0.0121666666666667,3.37933333333333,0.354166666666667,NA,37,-121.9,14,65.3,11.2,60,1466,237,181,9.6,17.8,8.2
"Seqaqa",1,NA,NA,NA,NA,1.07657142857143,0.208777777777778,0.000666666666666667,0.496214285714286,98.0305,41.0378928571429,0.560357142857143,16.5107142857143,46.8718,0.387392857142857,6.92857142857143,0,6.96428571428571,98.5244642857143,8.69421428571429,91.9326428571429,23.4830357142857,0.589571428571429,0.729178571428571,1.00960714285714,0.20525,0.21875,0.0177857142857143,0.00292857142857143,0.00525,0.00553571428571429,0.17525,0.821428571428571,NA,-16.6,179.1,25.1,249.4,25.1,249.4,5504,5504,365,23.6,26.5,2.9
"SERC, MD",0.04,1.90291666666667,44.6916666666667,24.95,0.09852,0.3428,0.119782608695652,0.000304347826086956,0.30304347826087,52.69656,37.2122,0.47848,11.20188,33.9718235294118,1.51732,37.31996,6.3444,41.0266,52.97464,8.20328,63.25628,33.67264,0.656,0.97772,1.1054,1.21612,1.39152,0.06988,0.023,0.02688,0.03308,1.23208,0.3,NA,38.5,-76.3,13.7,108.6,17.3,83.7,2113,2113,275,1.7,25.3,23.7
"Suganuma, Honshu",0,NA,NA,NA,NA,0.2095,0.13775,0.00075,0.333214285714286,33.25025,35.8240625,0.3191875,9.3765625,26.9240625,0.7929375,97.125,31.75,101.40625,33.5405625,7.835875,63.806125,46.4789375,0.6509375,1.4364375,1.3318125,3.1426875,4.1685625,0.0091875,0.02825,0.0200625,0.0274375,4.6440625,0,NA,36.8,139.4,2.5,227.5,9.8,166.3,297,297,184,-9.4,15.1,24.5
"Talkeetna",0.111111111111111,NA,NA,NA,NA,0.108,0.105777777777778,0.00381481481481481,0.133307692307692,19.1791111111111,20.5180740740741,0.45862962962963,6.31788888888889,21.4047368421053,0.481111111111111,39.7777777777778,3.28571428571429,41.4814814814815,19.3075925925926,6.68692592592593,64.5435769230769,31.4228888888889,0.656407407407407,3.07677777777778,1.13296296296296,1.61344444444444,1.93225925925926,0.0101111111111111,0.0234444444444444,0.0152222222222222,0.0190740740740741,2.50796296296296,0.277777777777778,NA,62.3,-150.2,0.8,68.4,11.2,38.7,323,323,153,-12.2,14.8,27
