"genusSpecies","genus","family","order","margin.score","lma_g_m2","petiole_width","petiole_area","blade_area","blade_perimeter","feret","minimum_feret","raw_blade_area","raw_blade_perimeter","internal_raw_blade_area","internal_raw_blade_perimeter","length_of_cut_perimeter","no_of_primary_teeth","no_of_subsidiary_teeth","mat_c","map_mm","latitude_n","longitude_e","leaf_area","feret_diameter","feret.diam.ratio","raw_blade_perimeter_corrected","internal_raw_blade_perimeter_corrected","total_tooth_count","teeth.interior.percm","perim.ratio","ln.leaf.area.mm2","ln_pr","ln_tc_ip","pw2.a.ratio","aspect_ratio","shape_factor","compactness","tooth_area","tooth.area.perimeter","tooth.area.interior","tooth.area.blade.area.ratio","avt.tooth.area","teeth.blade.area.ratio","teeth.perimeter.percm","log10_lma","log10_pw2a_ratio"
"Myrcia_fallax","Myrcia","Myricaceae","Fagales",1,112.35,0.1088395865,0.04,8.895,11.775,4.275,NA,NA,NA,NA,NA,NA,NA,NA,18.68333435,1961,18.1702,-66.5703,8.935,3.35966152557222,0.795562949871582,NA,NA,NA,0,1,6.77936374480291,NA,NA,0.00134113449824937,NA,0.805423307126897,15.6476367490253,NA,0,0,0,0,0,0,2.05057307675515,-2.87252766590794
"Myrcia_gatunensis","Myrcia","Myrtaceae","Myrtales",1,68.3,0.105318288,NA,15.98,19.05,8,NA,NA,NA,NA,NA,NA,NA,NA,26.39583397,2496,9.17,-79.85,15.98,4.51069483836669,0.563836854795836,NA,NA,NA,0,1,7.37650812632622,NA,NA,0.000694114004208444,NA,0.553345877797644,22.7097934918648,NA,0,0,0,0,0,0,1.83442070368153,-3.15856919333126
"Myrcia_minutiflora","Myrcia","Myrtaceae","Myrtales",1,NA,NA,NA,36.92,36.45,12.32,NA,NA,NA,NA,NA,NA,NA,NA,26.97500038,2237,-3,-58.97,36.92,6.85623832663526,0.556512851187927,NA,NA,NA,0,1,8.21392359562274,NA,NA,NA,NA,0.349201813997897,35.9859832069339,NA,0,0,0,0,0,0,NA,NA
"Myrcia_platatomen","Myrcia","Myrtaceae","Myrtales",1,76.7,0.0818772126666667,0.07,10.4533333333333,14.56,6.08333333333333,NA,NA,NA,NA,NA,NA,NA,NA,25.09583282,3334,-0.6859,-76.3953,10.5233333333333,3.65535408037372,0.601549548100614,NA,NA,NA,0,1,6.95313990661179,NA,NA,0.000640334098264548,NA,0.617967328373302,20.3351345321598,NA,0,0,0,0,0,0,1.88479536394898,-3.19359337105754
"Myrcia_splendens","Myrcia","Myrtaceae","Myrtales",1,50.45,0.0464052955,0.06,15.16,16.76,6.85,NA,NA,NA,NA,NA,NA,NA,NA,25.09583282,3334,-0.6859,-76.3953,15.22,4.39704704613275,0.64156097135337,NA,NA,NA,0,1,7.32315830070599,NA,NA,0.00014359173174761,NA,0.676667454665243,18.650944864599,NA,0,0,0,0,0,0,1.70286117057293,-3.84287056677735
"Myrica_californica","Myrica","Myricaceae","Fagales",0,114.45,0.13890193325,0.0825,8.4975,17.0825,7.0225,NA,8.4975,17.0825,8.16,15.7725,0,26.5,2.5,11.483333585,1753,42.982499745,-124.4733305,8.58,3.04614732253404,0.430382756387672,17.0825,15.7725,27.75,1.65184663956984,1.07470137579588,6.39702571314842,0.0718286226257846,0.473021473319264,0.0030971177649276,NA,0.303510579636762,41.6313496359919,0.337499999999999,0.015257502659706,0.016632759092505,0.0301391719768772,0.00954353092588385,4.24889560446344,1.53231779931624,2.05861579701056,-2.5090422806988
"Myrica_cerifera","Myrica","Myricaceae","Fagales",0.25,100.569444444444,0.0802757355833333,0.0601111111111111,6.19888888888889,14.5825,6.28583333333333,NA,6.99866666666667,15.6586666666667,6.85233333333333,14.9793333333333,0,6.43333333333333,0,21.0361108783333,1428,27.4833666666667,-78.91,6.25166666666667,2.76721640057762,0.445142928438269,15.6586666666667,14.9793333333333,6.43333333333333,0.386301298617008,1.03397713038851,6.36250838670329,0.0396874507463287,-0.860617151217945,0.00117011411492054,NA,0.362516577010005,35.9919883982767,0.125333333333334,0.00663232007613317,0.00699015951909594,0.0162236868595686,0.0140582010582011,0.969004149225452,0.369097715158373,2.0024660510493,-2.93177178178924
"Myrica_gale","Myrica","Myricaceae","Fagales",0,85.75,0.054923139,0.01,2.615,9.46,3.805,NA,2.615,9.46,2.515,8.94,0,9.5,NA,7.320833206,3540,55.32333333,-131.595,2.62,1.78929868166999,0.469386181110538,9.46,8.94,9.5,1.09316479400749,1.05683520599251,5.48440077790136,0.0552578719651941,0.0786779053881034,0.00189720201107756,NA,0.351409138550498,35.7646096757413,0.1,0.0101302257992399,0.0107209737827715,0.0381654239639328,0.0103333333333333,4.21796427952142,1.03537894030852,1.93323412871481,-2.72188642365783
"Myrica_splendens","Myrica","Myricaceae","Fagales",1,99.15,0.0559501355,0.02,5.23,12.875,4.795,NA,NA,NA,NA,NA,NA,NA,NA,20.09166718,2083,18.15399777,-66.80487416,5.25,2.58497224571993,0.539449054632934,NA,NA,NA,0,1,6.2626721119693,NA,NA,0.000596446659002394,NA,0.397618135970662,31.6971657897916,NA,0,0,0,0,0,0,1.99629271854132,-3.2244283897753
"Myristica_castaneifolia","Myristica","Myristicaceae","Magnoliales",1,186.45,0.3834806245,0.88,135.87,59.38,20.06,NA,NA,NA,NA,NA,NA,NA,NA,24.46666718,2982,-16.75001585,179.0199514,136.75,13.1951390289123,0.658362920376267,NA,NA,NA,0,1,9.52328081920216,NA,NA,0.00107558036169437,NA,0.484292794036134,25.9565425675018,NA,0,0,0,0,0,0,2.27056238769733,-2.96835713587011
"Myristica_gillespieana","Myristica","Myristicaceae","Magnoliales",1,97.6,0.163529887,0.325,39.965,27.18,10.815,NA,NA,NA,NA,NA,NA,NA,NA,24.46666718,2982,-16.75001585,179.0199514,40.29,7.13253940233761,0.663507124264581,NA,NA,NA,0,1,8.2845372251725,NA,NA,0.000705140497677238,NA,0.676207348447082,18.5982655209538,NA,0,0,0,0,0,0,1.98944981766669,-3.15172434217633
"Myristica_insipida","Myristica","Myristicaceae","Magnoliales",1,NA,NA,0.14,29.42,26.24,11.26,NA,NA,NA,NA,NA,NA,NA,NA,23.6875,3054,-16.144616,145.430116,29.56,6.13489697895339,0.544839873796926,NA,NA,NA,0,1,7.99159228206809,NA,NA,NA,NA,0.536938902791143,23.4037253569001,NA,0,0,0,0,0,0,NA,NA
"Myrrhinium_loranthoides","Myrrhinium","Myrtaceae","Myrtales",1,NA,NA,NA,2.26666666666667,8.25,3.66,NA,NA,NA,NA,NA,NA,NA,NA,19.32500076,629,-24.58,-64.7,2.26666666666667,1.65759850248775,0.464272088870432,NA,NA,NA,0,1,5.32397104692675,NA,NA,NA,NA,0.415863244115742,30.7591314814815,NA,0,0,0,0,0,0,NA,NA
