"Site","pw2.a.ratio","ln.leaf.area.mm2","feret.diam.ratio","margin.score","perim.ratio","teeth.perimeter.percm","teeth.interior.percm","avt.tooth.area","tooth.area.blade.area.ratio","tooth.area.perimeter","tooth.area.interior","teeth.blade.area.ratio","mat","map","latitude_n","longitude_e"
"Robinson Falls",0.000495227332680526,8.5954871729594,0.56409161216821,0.795454545454545,1.06551732838226,1.15531717928303,1.26106157407667,0.00403767789544246,0.00294163781745372,0.00551332614718797,0.00663012386554192,1.09425056368223,19.39999962,291.6,4.417,101.417
"Round Hill mallee",0.0071423589318379,5.24349648759489,0.331253355774922,0.972222222222222,1.0137741046832,0.264550264550265,0.275482093663912,0,0,0,0,6.66666666666667,17.35833359,41.5,-32.966,146.15472
"Round Hill woodland",0.00537256139509238,5.82514036738493,0.340334700868943,0.9,1.115717823619,0.568588083121301,0.68317337736046,0.00972935470484492,0.0287150272797741,0.00791825748815311,0.00941135011669611,2.33359783955774,17.41666603,40.6,-32.97638,146.14583
"San Bartolo",0.00293555376160252,5.04918245484362,0.672979362511714,0.693548387096774,1.22280633219772,1.51489409847212,1.79451500477766,0.0327958319331955,0.0606670152561597,0.022863447033603,0.0298059412522774,5.58859172864976,20.80416679,44.7,23.73323729,-109.8834687
"Santa Cruz, CA",0.00312320428509852,6.81640326484034,0.668496432815139,0.36,1.13994248940292,2.28101166777204,2.70922666270275,0.00938197224823682,0.0319633807649101,0.0140493986410312,0.017282173793352,4.71120837675748,14.19999981,70.7,36.98846587,-121.9209016
"Seqaqa",0.000331903065620375,8.69425530260221,0.591057213986722,0.821428571428571,1.05385863667188,1.14927640109995,1.22475691498122,0.0994201372728576,0.0164881954762535,0.0293717776376827,0.0309751919365934,0.981212149826345,25.32083321,245,-16.633333,179.083333
"SERC, MD",0.000454403803226021,8.20325386152201,0.657937168720871,0.3,1.14620338692164,1.68911496282816,1.93268519683241,0.0970615388786112,0.031982243653494,0.0373072032261074,0.0459844281188333,1.71117159410866,13.20833302,110.7,38.900427,-76.556955
"Suganuma, Honshu",0.000550022235094289,7.83595784707757,0.653607276351958,0,1.33182936745241,3.14268539440341,4.1683280688219,0.00920084581223267,0.0283429701814425,0.0198457734020412,0.0274525811491269,4.64408373003864,3.191666603,202.8,36.8103,139.3796
"Talkeetna",0.00151544990445137,6.68411158253527,0.65468403601886,0.277777777777778,1.18587823243239,2.15874517247378,2.59870290832252,0.0136713810837628,0.0322406529698134,0.0205729142859081,0.0258259041222311,3.40163125409664,1.116666555,71.7,62.29077997,-150.2042104
"Tanjung Tuan",0.000566309168057119,8.37715067852726,0.56250401857785,1,NA,NA,NA,NA,NA,NA,NA,NA,26.72083282,218.1,2.409143,101.850166
"Three Lynx, OR",0.000521251255459833,7.10575936245806,0.684006082198776,0.166666666666667,1.21966384934821,2.52707977478074,3.09364625057801,0.0191407781147626,0.0378701488182923,0.021450591932166,0.027293976908524,5.2944455736313,9.520833015,191.4,45.126666,-122.078333
